1000 is a False Positive, It has not been inserted
opy is a true negative,it has never been inserted before
doy is a true negative,it has never been inserted before
me's is a true negative,it has never been inserted before
tummin is a true negative,it has never been inserted before
a-cold is a True Positive, It had been inserted
pattering is a true negative,it has never been inserted before
canvas is a True Positive, It had been inserted
night-gown is a true negative,it has never been inserted before
festooned is a False Positive, It has not been inserted
bobbing is a true negative,it has never been inserted before
meg,-- is a true negative,it has never been inserted before
spank is a true negative,it has never been inserted before
perjured is a True Positive, It had been inserted
blissfully is a true negative,it has never been inserted before
eminently is a True Positive, It had been inserted
progressing is a False Positive, It has not been inserted
exposed is a true negative,it has never been inserted before
delinquencies is a true negative,it has never been inserted before
demanding,-- is a False Positive, It has not been inserted
sudar is a False Positive, It has not been inserted
marmar is a False Positive, It has not been inserted
hardening is a True Positive, It had been inserted
learns is a True Positive, It had been inserted
